Siglum	Source	RISM_abbrev
PrincetonA	"Princeton, University Library, Garrett 119, Fragment A"	US-PRu 119A
PrincetonB	"Princeton, University Library, Medieval and Renaissance Manuscripts 103"	US-PRu 103
Pz	"Paris, Bibliothèque Nationale, fonds nouv. acq. français 4917"	F-Pn 4917
RB	"Rome, Biblioteca Apostolica Vaticana, Barberiniano latino 171"	I-Rvat 171
RO	"Rome, Biblioteca Apostolica Vaticana, Ottoboniano latino 1790"	I-Rvat 1790
RoyalA	"London, British Library, Royal 12.C.VI"	GB-Lbl VI
RoyalB	"London, British Library, Royal 7.A.VI"	GB-Lbl 7.A.VI
Rs	"Rome, Biblioteca Apostolica Vaticana, Rossi 215"	I-Rvat 215
Salz	"Salzburg, Stiftsbibliothek von St. Peter a.VII.20"	A-Ssp 20
Sauveur	"Paris, Bibliothèque Nationale, fonds nouv. acq. latines 2444"	F-Pn 2444
Savile	"Oxford, Bodleian Library, Savile 25"	GB-OSa 25
SB	"Siena, Biblioteca Comunale degl'Intronati, L.V.36"	I-Sc 36
Selden	"Oxford, Bodleian Library, Arch. Selden B.14"	GB-Ob 14
Sev	"Sevilla, Biblioteca Capitulare Colombina 5.2.25"	E-S 25
SieA	"Siena, Biblioteca Comunale degl'Intronati, G.III.2"	I-Sbci G.III.2
SieB	"Siena, Archivio dell'Opera del Duomo di Siena, 42N"	I-Sad 42N
SieD	"Siena, Biblioteca Comunale degl'Intronati, H.I.10"	I-Sbci H.I.10
Sloane	"London, British Library, Sloane 1210"	GB-Lbl 1210
Solsona	"Solsona, Archivo Diocesano, Fragment 109"	E-Sa 109
Sq	"Florence, Biblioteca Medicea-Laurenziana, Palatino 87 (Squarcialupi Codex)"	I-Fl 87
StGen	"Paris, Bibliothèque Sainte-Geneviève 1257"	F-Psg 1257
StGuduleA	"Brussels, Bibliothèque du Conservatoire Royal de Musique, fonds St. Gudule, 1st Fragment"	B-Bc I
StGuduleB	"Brussels, Bibliothèque du Conservatoire Royal de Musique, fonds St. Gudule, 2nd Fragment"	B-Bc II
StP	"Warsaw, National Library, lat. F.I.378 (photographic copy only)"	PL-Wn 378
Str	"Strasbourg, Bibliothèque Municipale (olim Bibliothèque de la Ville) 222 C. 22"	F-Sm 222
Stratford	"Stratford, Shakespeare Birthplace Library, Archer 41 (olim Archer 2)"	GB-STs 41
tAret	"Arezzo, Biblioteca Comunale 180 della Fraternita dei Laici"	I-Ac 180
Taunton	"Taunton, Somersetshire Record Office DD/WHb. 3182"	GB-TAcro 3182
tDarm	"Darmstadt, Hessische Landesbibliothek 521"	D-Dhl 521
tF-PaArs	"Paris, Bibliothèque de l'Arsenal 683"	F-Pba 683
tF-PaJ	"Paris, Bibliothèque de l'Arsenal 5203 (olim 97 BF)"	F-Pba 5203
tF-Pn.b	"Paris, Bibliothèque Nationale, fonds italien 1069"	F-Pbn 1069
tF-PnA	"Paris, Bibliothèque Nationale, fonds latin 3343"	F-Pbn 3343
tF-PnD	"Paris, Bibliothèque Nationale, fonds français 1587 (olim 612)"	tF-PnD
tF-PnH	"Paris, Bibliothèque Nationale, fonds français 881 (olim 7235)"	tF-PnH
tF-PnI	"Paris, Bibliothèque Nationale, fonds nouv. acq. français 6221"	tF-PnI
tF-PnM	"Paris, Bibliothèque Nationale, fonds français 843"	tF-PnM
tGB-BL.a	"London, British Library, Additional 15224"	tGB-BL.a
tGB-BL.b	"London, British Library, Additional 46919 (olim Phillipps MS 8336)"	tGB-BL.b
tGB-Cjc	"Cambridge, St. John's College Library 262"	tGB-Cjc
tGB-Lwa	"London, Westminster Abbey 21"	tGB-Lwa
tI-Bu.b	"Bologna, Biblioteca Universitaria 1072 XI 9"	tI-Bu.b
tI-Fas	"Florence, Archivio di Stato, Atti esecutivi degli ordinamenti di giustizia, anno 1380"	tI-Fas
tI-Fl.a	"Florence, Biblioteca Medicea Laurenziana XC 37"	tI-Fl.a
tI-Fl.b	"Florence, Biblioteca Medicea-Laurenziana, Palatino 105"	tI-Fl.b
tI-Fl.c	"Florence, Biblioteca Medicea-Laurenziana, Rediano 184"	tI-Fl.c
tI-Fl.d	"Florence, Biblioteca Medicea Laurenziana, Ashburnham 569"	tI-Fl.d
tI-Fl.e	"Florence, Biblioteca Medicea Laurenziana, Ashburnham 574"	tI-Fl.e
tI-Fl.f	"Florence, Biblioteca Riccardiana 1764"	tI-Fl.f
tI-Fl.g	"Florence, Biblioteca Medicea Laurenziana XL 43"	tI-Fl.g
tI-Fm	"Florence, Biblioteca Marucelliana C.155"	tI-Fm
tI-Fn.a	"Florence, Biblioteca Nazionale Centrale II.II.61"	tI-Fn.a
tI-Fn.b	"Florence, Biblioteca Nazionale Centrale, Palatino 204"	tI-Fn.b
tI-Fn.c	"Florence, Biblioteca Nazionale Centrale, Palatino 288"	tI-Fn.c
tI-Fn.d	"Florence, Biblioteca Nazionale Centrale, Palatino 315"	tI-Fn.d
tI-Fn.e	"Florence, Biblioteca Nazionale Centrale, Magliabechiano VII 640"	tI-Fn.e
tI-Fn.f	"Florence, Biblioteca Nazionale Centrale, Magliabechiano VII 1040"	tI-Fn.f
tI-Fn.g	"Florence, Biblioteca Nazionale Centrale, Magliabechiano VII 1041"	tI-Fn.g
tI-Fn.h	"Florence, Biblioteca Nazionale Centrale, Magliabechiano VII 1078"	tI-Fn.h
tI-Fr.a	"Florence, Biblioteca Riccardiana 2735"	tI-Fr.a
tI-Fr.b	"Florence, Biblioteca Riccardiana 1100"	tI-Fr.b
tI-Fr.c	"Florence, Biblioteca Riccardiana 1118"	tI-Fr.c
tI-Fr.d	"Florence, Biblioteca Riccardiana 1280"	tI-Fr.d
tI-Fr.e	"Florence, Biblioteca Riccardiana 2871"	tI-Fr.e
tI-Las.a	"Lucca, Archivio di Stato 107"	tI-Las.a
tI-Las.b	"Lucca, Archivio di Stato 266"	tI-Las.b
tI-Ma	"Milan, Biblioteca Ambrosiana E.56 sup"	tI-Ma
tI-Mt	"Milan, Biblioteca Trivulziana 193"	tI-Mt
tI-Pc	"Perugia, Biblioteca Comunale C.43"	tI-Pc
tI-Pp	"Parma, Biblioteca Palatina, Parmense 1081"	tI-Pp
tI-Tc	"Treviso, Biblioteca Comunale 43"	tI-Tc
tI-Vat.a	"Rome, Biblioteca Apostolica Vaticana, Chigiano M.IV.79"	tI-Vat.a
tI-Vat.b	"Rome, Biblioteca Apostolica Vaticana, Chigiano L.IV.131"	tI-Vat.b
tI-Vat.c	"Rome, Biblioteca Apostolica Vaticana, Chigiano M.VII.142"	tI-Vat.c
tI-Vat.d	"Rome, Biblioteca Apostolica Vaticana, Chigiano L.VIII.300"	tI-Vat.d
tI-Vat.e	"Rome, Biblioteca Apostolica Vaticana, Patetta 352"	tI-Vat.e
tI-Vat.f	"Rome, Biblioteca Apostolica Vaticana, latino 3195"	tI-Vat.f
tI-Vat.g	"Rome, Biblioteca Apostolica Vaticana, latino 3213"	tI-Vat.g
tI-Vat.h	"Rome, Biblioteca Apostolica Vaticana, Barberiniano latino 3695"	tI-Vat.h
tI-Vat.i	"Rome, Biblioteca Apostolica Vaticana, Chigiano L.VIII.301"	tI-Vat.i
tI-Vat.j	"Rome, Biblioteca Apostolica Vaticana 4757"	tI-Vat.j
TitusD	"London, British Library, Cotton Titus D. XXIV"	GB-Lbl XXIV
tMarciana	"Venice, Biblioteca Nazionale Marciana XIV, lat. 223"	
Toulouse	"Toulouse, Bibliothèque Municipale 94"	F-TLm 94
Tournai	"Tournai, Bibliothèque Capitulaire 476"	B-Tc 476
Tours	"Tours, Bibliothèque Municipale 925"	F-TO 925
tPenn	"Philadelphia, University of Pennsylvania Library, French MS 15"	
Trem	"Paris, Bibliothèque Nationale, fonds nouv. acq. français 23190 (olim Serrant Château, ducs de la Trémoïlle)"	F-Pn 23190
Troyes	"Troyes, Bibliothèque municipale 1397"	F-T 1397
tTriv	"Milan, Biblioteca Trivulziana 535"	
TuB	"Torino, Biblioteca Nazionale s.J.II.9"	I-Tn 9
TuC	"Torino, Biblioteca Nazionale, Bobbiense F.I.4"	I-Tn 4
TurinC	"Turin, Biblioteca Nazionale Universitaria T. III. 2"	I-TnT.III.2
Udine	"Udine, Biblioteca Comunale Vincenzo Joppi, ex Archivio Florio 290"	I-UDvj 290
US-CAh	"Cambridge (Massachusetts), Harvard University, Houghton Library, Typ 122"	US-CAh 122
US-CnA	"Chicago, Newberry Library 54.1"	US-Cn 54.1
US-CnB	"Chicago, Newberry Library 24 (olim 23817)"	US-Cn 24
US-PRLo	"Princeton, Private Collection of Prof. E. A. Lowe (Missale Bugellense)"	US-PRLo
US-SBam	"Santa Barbara, Academia Monteverdiana"	US-SBam
US-SM	"San Marino, California, Huntington Library, HM 19914"	US-SM 19914
US-Wc14	"Rochester, N,Y., Sibley Music Library, Fleischer Fragment 44 (olim BF)"	US-Wc14
Utrecht	"Utrecht, Universiteitsbibliotheek 1846 (shelfmark 6 E 37)"	NL-Uu 37
Verdun	"Verdun, Bibliothèque Municipale 130"	F-VN 130
Vg	"New York, Wildenstein Collection"	US-NYw
Villingen	"@[A late 14th century source, now lost except for a single work preserved in Gerbert's @De cantu et musica sacra*, II (1774), repr 1968].*"	
Vmg	"Venice, Monastero di San Giorgio Maggiore (fragment without shelfmark)"	I-Vmg
Vorau	"Vorau, Bibliothek des Augustiner Chorherrenstifts 380"	A-V 380
Wash	"Washington, Library of Congress, M 2.1.C 6a. 14"	US-Wc 14
WashB	"Washington, National Gallery of Art, Rosenwald Collection B-22, 128"	US-Wng 128
WashC	"Washington, National Gallery of Art, Rosenwald Collection B-15, 393"	US-Wng 39
WienA	"Vienna, Österreichische Nationalbibliothek 4702"	A-Wn 4702
WienB	"Vienna, Österreichische Nationalbibliothek 1925"	A-Wn 1925
WolfC	"Wölfenbüttel, Herzog-August Bibliothek 499 (W3)"	D-W 499
WorcB	"Worcester, Counties of Hereford and Worcester Record Office 705/349 BA 5117/1 (xiv)"	GB-WOcr 5117/1
Worcxii	"Worcester, Cathedral Library, Additional 68, fragment xii"	GB-Wcl 68xii
Worcxix	"Worcester, Cathedral Library, Additional 68, fragment xix"	GB-Wcl 68xix
Worcxxxv	"Worcester, Cathedral Library, Additional 68, fragment xxxv"	GB-Ob d.20
Yi	"York, Borthwick Institute of Historical Research 2"	GB-Yi 2
York	"York, Minster Library xvi.N.3"	GB-Yc
Yox	"Yoxford, [manuscript in private possession, on deposit in Keble College Library, Oxford]"	GB-YOX
Yox	"Yoxford, [manuscript in private possession, on deposit in Keble College Library, Oxford]"	
