Siglum	Source	RISM_abbrev
D-NstC	"Nürnberg, Stadtbibliothek, fragment lat. 9 (@olim* Centurio V, 61)"	D-Nst 9
D-SSst	"Stralsund, Stadtbibliothek"	D-SSst
Dom	"Stresa, Biblioteca Rosminiana 14 (olim Domodossola)"	I-STr 14
E-G	"Gerona, Archivo Capitular, frag. 33/II"	E-G
E-Mah	"Madrid, Archivio Histórico Nacional, Codice, Carpeta 1474, fragm. 17"	
E-MO	"Montserrat, Biblioteca del Monasterio 1  (Llibre Vermell)"	E-MO 1
E-TcA	"Tarragona, Archivo Histórico Archidiocesano ss(1)"	E-Tc (1)
E-TcB	"Tarragona, Archivo Histórico Archidiocesano ss(2)"	E-Tc (2)
E-TcC	"Tarragona, Archivo Histórico Archidiocesano ss(3)"	E-Tc (3)
E-TcD	"Tarragona, Archivo Episcopal 44 (olim 12)"	E-Tc 12
E-Vic	"Vic, Archivo Capitular, Fragment V. 60"	E-Vic V.60
earlier_sources	earlier sources	
Egerton	"London, British Library, Egerton 2104A"	GB-Lbl 2104A
EMus	"Oxford, Bodleian Library, e. Museo 7"	GB-Ob 7
Eng	"Engelberg, Stiftsbibliothek 314"	CH-EN 314
ErfA	"Erfurt, Wissenschaftliche Bibliothek 4o 332"	D-Etw 332
ErfB	"Erfurt, Wissenschaftliche Bibliothek 8o 44"	D-ETw 44
EscC	"Escorial, Biblioteca T.I.12"	E-Esc 12
F-CA	"Cambrai, Bibliothèque Municipale 1328"	F-CA
F-CA(n)	"Cambrai, Bibliothèque Municipale 1328"	F-CA
F-CF	"Clermont-Ferrand, Bibliothèque Municipale 73"	F-CF 73
F-COL 352	"Colmar, Bibliothéque de la Ville, 352"	F-COL 352
F-Kernascl‚den	"Kernaskléden, frescoes in the church of Notre Dame"	F-Kernascl‚den
F-Pa	"Paris, Bibliothèque de l'Arsenal 196"	F-Pa 196
F-Pim	"Paris, Institut de Musicologie de l'Université, no signature"	F-Pim
F-Pml	"Paris, Musée du Louvre, Cabinet des Dessins N.9828"	F-Pml
F-PnA	"Paris, Bibliothèque Nationale, fonds français 571"	F-Pn 571
F-PnB	"Paris, Bibliothèque Nationale, fonds latin 5247"	F-Pn 5247
F-SEm	"Sens, Bibliothèque Municipale 6"	F-SEm 6
Fa	"Faenza, Biblioteca Comunale 117 (Faenza Codex)"	I-FZc 117
Fauv	"Paris, Bibliothèque Nationale, fonds français 146"	F-Pn 146
Fayrfax	"Oxford, Bodleian Library, Fayrfax 27"	GB-Ob 27
FC	"Florence, Biblioteca del Conservatorio di Musica Luigi Cherubini D 1175"	I-Fc 1175
Fétis	"lost, @A manuscript dated 1375, now lost except for one work preserved in François FETIS, @Histoire générale de musique*, vol. V.,"	
Fitz	"Cambridge, Fitzwilliam Museum 194"	GB-Cfw 194
Fl 999	"Florence, Biblioteca Medicea Laurenziana, Ashb. 999"	I-Fl 999
Florence	"Florence, Archivio di Stato, Notarile Antecosimiano 17879"	I-Fas 17879
FnF	"Florence, Biblioteca Nazionale Centrale, Incunab. F.5.5"	I-Fn F5.5
FOL	"Foligno, Archivio di Stato (@olim* Biblioteca Comunale, Sala A), frammenti musicali"	I-FOL
Forrer	"Strasbourg, [formerly] Robert Forrer Collection"	F-Sf
FP	"Florence, Biblioteca Nazionale Centrale, Panciatichiano 26"	I-Fn 26
