ascii,character,arguments,code,pitchcode,scoretype,scorecode,name,lilycode,numspace,whitecode,blackcode,cursneume,hilneume,duration,meitype
131,_,0,NOCODE1,FALSE,,,,,2,,,,,0,other
132,¨,1,LINE,FALSE,,,line4,,0,,,,,0,other
133,ê,0,NOCODE2,FALSE,,,,,0,,,,,0,other
139,_,1,TR,FALSE,1,23,tractulus,,1,Trac,,T.EPS,T.EPS,1,note
140,_,0,MBAR,FALSE,14,,mode,,0,,,,,0,barline
141,ç,1,AS,FALSE,14,,ascender,,0,,,,,0,note
142,_,1,DS,FALSE,14,,desccender,,0,,,,,0,note
143,è,0,&,FALSE,,,,,0,,,,,0,other
144,ê,0,ERR,FALSE,,,,,0,,,,,0,other
145,ä,0,NOCODE3,FALSE,,,,,0,,,,,0,other
146,Î,3,CM,TRUE,1,NEW,climacus3,,3,,,HCMC.EPS,HCMC.EPS,0.5,ineume
147,Ü,4,CMS,TRUE,1,NEW,climacus4,,4,,,HCMD.EPS,HCMD.EPS,0.5,ineume
148,ö,5,CMSS,TRUE,1,NEW,climacus5,,5,,,HCME.EPS,HCME.EPS,0.5,ineume
149,_,4,PS,TRUE,1,NEW,pes_subpunctus4,,4,,,HPSD.EPS,HPSD.EPS,0.5,ineume
150,ã,5,PSS,TRUE,1,NEW,pes_subpunctus5,,5,,,HPSE.EPS,HPSE.EPS,0.5,ineume
151,«,6,PSSS,TRUE,1,NEW,pes_subpunctus6,,6,,,HPSF.EPS,HPSF.EPS,0.5,ineume
152,_,3,SC,TRUE,1,1071,scandicus3,,3,,,SA.EPS,SCM.EPS,0.5,uneume
153,_,3,SC',TRUE,1,1076,scandicus3,,3,,,SA.EPS,SCM.EPS,0.5,ineume
154,_,4,SQ,TRUE,1,984,scandicus4,,4,,,HQLE.EPS,HQL.EPS,0.5,ineume
155,Õ,2,CE,TRUE,1,1082,cephalicus,,2,,,HCPA.EPS,HCPA.EPS,0.5,uneume
156,ø,1,Q,TRUE,1,1074,quilisma,,1,,,QL.EPS,HQL.EPS,0.5,uneume
157,ù,1,G,FALSE,,0,G clef,,0,,,,,0,clef
